Date,Open,High,Low,Close,Volume
2015-01-05,4015.5,4015.5,3963.3,3989.4,205356
2015-01-06,3963.3,4041.5,3937.2,4041.5,329971
2015-01-07,4041.5,4171.9,4041.5,4093.7,855631
2015-01-08,4093.7,4119.8,4067.6,4119.8,54675
2015-01-09,4119.8,4250.1,4067.6,4145.8,2548668
2015-01-12,4171.9,4276.2,4145.8,4198.0,1353417
2015-01-13,4198.0,4354.4,4198.0,4302.3,1528584
2015-01-14,4302.3,4302.3,4198.0,4224.0,1103872
2015-01-15,4198.0,4224.0,4145.8,4145.8,900103
2015-01-16,4171.9,4198.0,4093.7,4145.8,1374986
2015-01-19,4198.0,4224.0,4171.9,4198.0,846283
2015-01-20,4171.9,4198.0,4119.8,4171.9,276214
2015-01-21,4171.9,4198.0,4119.8,4145.8,754621
2015-01-22,4145.8,4250.1,4119.8,4250.1,1105874
2015-01-23,4224.0,4484.8,4224.0,4458.7,5298062
2015-01-26,4458.7,4510.9,4458.7,4484.8,1128071
2015-01-27,4510.9,4536.9,4302.3,4484.8,1159837
2015-01-28,4458.7,4745.5,4406.6,4693.4,3526977
2015-01-29,4693.4,4719.5,4615.2,4615.2,1576363
2015-01-30,4589.1,4589.1,4406.6,4484.8,1757328
2015-02-02,4458.7,4510.9,4380.5,4380.5,974987
2015-02-03,4380.5,4406.6,4145.8,4145.8,3041930
2015-02-04,4119.8,4198.0,4067.6,4198.0,993933
2015-02-05,4198.0,4276.2,4198.0,4198.0,273602
2015-02-06,4198.0,4276.2,3885.1,4276.2,901275
2015-02-09,4276.2,4328.3,4198.0,4198.0,268138
2015-02-10,4171.9,4276.2,4171.9,4224.0,388310
2015-02-11,4224.0,4302.3,4224.0,4276.2,334057
2015-02-12,4276.2,4302.3,4250.1,4276.2,323023
2015-02-13,4302.3,4458.7,4302.3,4380.5,2389697
2015-02-24,4406.6,4510.9,4406.6,4458.7,517620
2015-02-25,4484.8,4615.2,4458.7,4510.9,2470241
2015-02-26,4510.9,4536.9,4432.6,4510.9,412737
2015-02-27,4536.9,4536.9,4432.6,4432.6,236541
2015-03-02,4484.8,4484.8,4406.6,4432.6,370522
2015-03-03,4484.8,4484.8,4406.6,4406.6,2219101
