Date,Open,High,Low,Close,Volume
2015-05-13,4991.42,5012.97,4977.49,4981.69,384762304
2015-05-14,5016.68,5051.72,4999.65,5050.8,404813632
2015-05-15,5059.15,5062.65,5034.84,5048.29,431423456
2015-05-18,5040.92,5084.5,5037.54,5078.44,391347680
2015-05-19,5080.44,5087.35,5062.8,5070.03,412313600
2015-05-20,5072.44,5097.52,5050.21,5071.74,401518176
2015-05-21,5065.94,5098.23,5062.51,5090.79,381244352
2015-05-22,5085.39,5103.84,5085.19,5089.36,363368416
2015-05-26,5076.91,5081.17,5016.73,5032.75,442169312
2015-05-27,5047.86,5111.54,5039.37,5106.59,424865920
2015-05-28,5096.34,5106.65,5080.25,5097.98,400525536
2015-05-29,5093.1,5099.4,5057.59,5070.02,545786944
2015-06-01,5094.94,5099.01,5045.67,5082.93,444441600
2015-06-02,5063.47,5100.02,5047.35,5076.52,410953184
2015-06-03,5098.48,5114.6,5084.99,5099.23,411408032
2015-06-04,5078.22,5101.11,5046.29,5059.12,407343872
2015-06-05,5057.04,5074.98,5025.52,5068.46,426331200
2015-06-08,5066.65,5069.0,5014.06,5021.63,388068864
2015-06-09,5013.13,5027.02,4974.61,5013.86,394828896
2015-06-10,5029.41,5086.66,5024.17,5076.69,428374624
2015-06-11,5088.26,5101.39,5075.05,5082.51,406905184
2015-06-12,5060.24,5067.96,5043.24,5051.1,348818048
2015-06-15,5011.79,5035.37,4985.94,5029.97,429317408
2015-06-16,5023.58,5063.06,5022.56,5055.55,373639776
2015-06-17,5067.68,5080.11,5042.25,5064.88,394119840
2015-06-18,5082.06,5143.32,5082.03,5132.95,434520928
2015-06-19,5139.77,5140.17,5113.94,5117.0,994329472
2015-06-22,5147.87,5162.13,5142.78,5153.97,392193568
2015-06-23,5161.68,5163.41,5139.33,5160.1,363880864
2015-06-24,5151.38,5164.36,5121.64,5122.41,396719520
2015-06-25,5139.48,5141.71,5102.16,5112.19,404118592
2015-06-26,5113.26,5121.47,5060.82,5080.51,1251422464
2015-06-29,5021.21,5051.01,4956.23,4958.47,490088224
2015-06-30,5000.15,5008.76,4968.26,4986.87,536566592
2015-07-01,5029.05,5038.55,4994.47,5013.12,425745824
2015-07-02,5024.3,5027.47,4990.74,5009.21,357112480
2015-07-06,4963.8,5020.71,4960.93,4991.94,489029504
2015-07-07,4993.76,5001.99,4902.21,4997.46,495437408
2015-07-08,4953.98,4965.45,4901.51,4909.76,450166784
2015-07-09,4976.15,4982.19,4920.4,4922.4,424411936
2015-07-10,4981.24,5008.05,4966.51,4997.7,369464224
2015-07-13,5037.27,5074.81,5036.68,5071.51,383979136
2015-07-14,5077.12,5116.52,5075.12,5104.89,386787616
