Stock Name,CTG,CTG,CTG,CTG,CTG,CTG,ACB,ACB,ACB,ACB,ACB,ACB,VCB,VCB,VCB,VCB,VCB,VCB,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,SP500,SP500,SP500,SP500,SP500,SP500,NASDAQ,NASDAQ,NASDAQ,NASDAQ,NASDAQ,NASDAQ,VNM,VNM,VNM,VNM,VNM,VNM,FPT,FPT,FPT,FPT,FPT,FPT,GAS,GAS,GAS,GAS,GAS,GAS,BID,BID,BID,BID,BID,BID
Stock Info,Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume
9,2015-01-16,9988.6,10185.7,9857.2,10054.3,1529823.0,2015-01-16,4171.9,4198.0,4093.7,4145.8,1374986.0,2015-01-16,19405.0,19405.0,19036.0,19142.0,1167974.0,2015-01-15,27.5,27.52,26.66,26.7,240055984,2015-01-15,2013.8,2021.3,1991.5,1992.7,0.0,2015-01-15,4657.46,4663.96,4567.39,4570.82,525693664.0,2015-01-16,69444.0,69444.0,69097.0,69444.0,48586.0,2015-01-16,12197.6,12197.6,12097.7,12122.7,532303.0,2015-01-16,78000.0,79000.0,77000.0,77500.0,334230.0,2015-01-16,10484.6,10611.7,10294.0,10294.0,2966500.0
10,2015-01-19,10382.9,10448.6,10185.7,10317.2,2318786.0,2015-01-19,4198.0,4224.0,4171.9,4198.0,846283.0,2015-01-19,19195.0,19616.0,18667.0,18667.0,1589270.0,2015-01-16,26.76,26.89,26.3,26.5,314053376,2015-01-16,1992.2,2020.5,1988.1,2019.4,0.0,2015-01-16,4566.38,4635.82,4563.11,4634.38,548599552.0,2015-01-19,69444.0,69444.0,68750.0,69097.0,87768.0,2015-01-19,12122.7,12122.7,11997.7,11997.7,1120602.0,2015-01-19,77500.0,78500.0,76000.0,76500.0,258660.0,2015-01-19,10484.6,10675.2,10294.0,10421.0,4237007.0
11,2015-01-20,10251.4,10317.2,10120.0,10120.0,535032.0,2015-01-20,4171.9,4198.0,4119.8,4171.9,276214.0,2015-01-20,18667.0,19036.0,18614.0,18984.0,1382197.0,2015-01-20,26.96,27.22,26.62,27.18,199599632,2015-01-20,2020.8,2028.9,2004.5,2022.5,0.0,2015-01-20,4655.84,4665.65,4601.1,4654.85,473619648.0,2015-01-20,68403.0,70139.0,68403.0,69444.0,102154.0,2015-01-20,11997.7,12047.7,11972.7,11997.7,1050347.0,2015-01-20,77000.0,78000.0,76500.0,77500.0,456860.0,2015-01-20,10357.5,10421.0,10166.9,10294.0,1933508.0
12,2015-01-21,10120.0,10120.0,9922.9,9922.9,1044999.0,2015-01-21,4171.9,4198.0,4119.8,4145.8,754621.0,2015-01-21,18984.0,18984.0,18667.0,18667.0,924347.0,2015-01-21,27.24,27.77,27.07,27.39,194303584,2015-01-21,2020.2,2038.3,2012.0,2032.1,0.0,2015-01-21,4641.95,4692.46,4629.59,4667.42,463216768.0,2015-01-21,70139.0,70833.0,69097.0,69444.0,116539.0,2015-01-21,12047.7,12197.6,12047.7,12097.7,1854114.0,2015-01-21,77500.0,78000.0,77000.0,77500.0,271070.0,2015-01-21,10294.0,10357.5,9976.2,9976.2,2273362.0
13,2015-01-22,9922.9,10580.0,9791.4,10580.0,3466163.0,2015-01-22,4145.8,4250.1,4119.8,4250.1,1105874.0,2015-01-22,18667.0,19458.0,18404.0,19089.0,3280364.0,2015-01-22,27.57,28.12,27.43,28.1,215185632,2015-01-22,2034.3,2064.6,2026.4,2063.2,0.0,2015-01-22,4690.93,4752.6,4644.57,4750.4,515532800.0,2015-01-22,69444.0,70139.0,69097.0,69097.0,61474.0,2015-01-22,12147.6,12147.6,12047.7,12047.7,913531.0,2015-01-22,77500.0,78500.0,77500.0,78500.0,269320.0,2015-01-22,9976.2,10611.7,9785.6,10611.7,6471108.0
14,2015-01-23,10974.3,11171.4,10777.2,10908.6,2526227.0,2015-01-23,4224.0,4484.8,4224.0,4458.7,5298062.0,2015-01-23,19247.0,20038.0,19142.0,19564.0,2358807.0,2015-01-23,28.07,28.44,27.88,28.25,185859312,2015-01-23,2063.0,2063.0,2050.5,2051.8,0.0,2015-01-23,4748.19,4771.18,4737.95,4757.88,414941152.0,2015-01-23,69444.0,70139.0,68750.0,69444.0,118872.0,2015-01-23,12097.7,12172.6,12047.7,12097.7,1179408.0,2015-01-23,79000.0,81000.0,78500.0,81000.0,641740.0,2015-01-23,10929.4,11247.1,10865.8,11056.5,7485615.0
15,2015-01-26,11040.0,11368.6,10974.3,11237.2,3801099.0,2015-01-26,4458.7,4510.9,4458.7,4484.8,1128071.0,2015-01-26,19564.0,19775.0,19300.0,19300.0,858836.0,2015-01-26,28.43,28.59,28.2,28.27,222459920,2015-01-26,2050.4,2057.6,2041.0,2057.1,0.0,2015-01-26,4752.36,4774.18,4734.2,4771.76,460886720.0,2015-01-26,69444.0,70139.0,69097.0,69097.0,166075.0,2015-01-26,12097.7,12172.6,12097.7,12097.7,1172965.0,2015-01-26,81500.0,82000.0,80000.0,80000.0,327410.0,2015-01-26,11056.5,11183.6,10929.4,11056.5,3693237.0
16,2015-01-27,11237.2,11697.2,11040.0,11500.0,5652666.0,2015-01-27,4510.9,4536.9,4302.3,4484.8,1159837.0,2015-01-27,19247.0,19405.0,18720.0,19142.0,1790832.0,2015-01-27,28.11,28.12,27.26,27.29,382275008,2015-01-27,2047.9,2047.9,2019.9,2029.5,0.0,2015-01-27,4698.23,4721.88,4659.83,4681.5,469343360.0,2015-01-27,69097.0,72222.0,69097.0,70833.0,373522.0,2015-01-27,12072.7,12147.6,11997.7,11997.7,1295065.0,2015-01-27,80000.0,80000.0,78500.0,79500.0,313480.0,2015-01-27,10992.9,11437.7,10865.8,11056.5,8304159.0
17,2015-01-28,11500.0,12288.6,11500.0,12288.6,7413537.0,2015-01-28,4458.7,4745.5,4406.6,4693.4,3526977.0,2015-01-28,19142.0,19827.0,18984.0,19722.0,2311436.0,2015-01-28,29.41,29.53,28.83,28.83,585908224,2015-01-28,2032.3,2042.5,2001.5,2002.2,0.0,2015-01-28,4740.69,4742.06,4637.48,4637.99,534446816.0,2015-01-28,70139.0,71528.0,70139.0,70139.0,118152.0,2015-01-28,11972.7,12072.7,11947.7,11972.7,795890.0,2015-01-28,80000.0,80000.0,78000.0,78500.0,253270.0,2015-01-28,11056.5,11819.0,11056.5,11819.0,10091010.0
18,2015-01-29,12485.7,12814.3,12157.2,12354.3,5519570.0,2015-01-29,4693.4,4719.5,4615.2,4615.2,1576363.0,2015-01-29,19722.0,19722.0,19405.0,19458.0,1019572.0,2015-01-29,29.08,29.8,28.89,29.73,337745728,2015-01-29,2002.5,2024.6,1989.2,2021.2,0.0,2015-01-29,4635.73,4688.41,4601.76,4683.41,529674048.0,2015-01-29,70139.0,72917.0,70139.0,72917.0,579010.0,2015-01-29,11972.7,11997.7,11947.7,11972.7,685332.0,2015-01-29,78000.0,78500.0,77500.0,77500.0,111790.0,2015-01-29,11755.4,11946.1,11374.2,11564.8,5909261.0
19,2015-01-30,12157.2,12288.6,11697.2,11828.6,4104722.0,2015-01-30,4589.1,4589.1,4406.6,4484.8,1757328.0,2015-01-30,19405.0,19405.0,18773.0,18825.0,2000214.0,2015-01-30,29.6,30.0,29.21,29.29,334981856,2015-01-30,2019.3,2023.3,1993.4,1995.0,0.0,2015-01-30,4671.2,4703.81,4631.1,4635.24,638807872.0,2015-01-30,72222.0,72917.0,71528.0,72222.0,209779.0,2015-01-30,11997.7,12022.7,11872.7,11872.7,1793690.0,2015-01-30,78500.0,78500.0,77000.0,77000.0,268300.0,2015-01-30,11437.7,11501.3,11056.5,11120.0,5560875.0
20,2015-02-02,11697.2,12157.2,11565.7,11828.6,3252437.0,2015-02-02,4458.7,4510.9,4380.5,4380.5,974987.0,2015-02-02,18720.0,19036.0,18667.0,18825.0,1047633.0,2015-02-02,29.51,29.79,29.02,29.66,250956400,2015-02-02,1996.7,2021.7,1980.9,2020.8,0.0,2015-02-02,4650.6,4676.69,4580.46,4676.69,525393568.0,2015-02-02,72222.0,72917.0,71528.0,71528.0,126691.0,2015-02-02,11897.7,11947.7,11822.7,11847.7,669913.0,2015-02-02,77500.0,78000.0,76500.0,76500.0,82200.0,2015-02-02,11056.5,11247.1,10929.4,10929.4,3181567.0
21,2015-02-03,11894.3,11960.0,11040.0,11040.0,4431604.0,2015-02-03,4380.5,4406.6,4145.8,4145.8,3041930.0,2015-02-03,18773.0,18878.0,17560.0,17560.0,2571324.0,2015-02-03,29.62,29.77,29.4,29.66,207662992,2015-02-03,2022.7,2050.3,2022.7,2050.0,0.0,2015-02-03,4693.25,4727.74,4670.82,4727.74,553797440.0,2015-02-03,71528.0,72222.0,70139.0,70139.0,248487.0,2015-02-03,11847.7,11872.7,11747.7,11747.7,632541.0,2015-02-03,77500.0,79000.0,76500.0,76500.0,335140.0,2015-02-03,11120.0,11120.0,10166.9,10166.9,6261571.0
22,2015-02-04,10711.4,10842.9,10317.2,10645.7,4663348.0,2015-02-04,4119.8,4198.0,4067.6,4198.0,993933.0,2015-02-04,17138.0,17560.0,16822.0,17454.0,2352847.0,2015-02-04,29.62,30.13,29.58,29.89,280598976,2015-02-04,2048.9,2054.7,2036.7,2041.5,0.0,2015-02-04,4699.81,4744.33,4697.79,4716.7,549869952.0,2015-02-04,70139.0,71528.0,69444.0,71528.0,140717.0,2015-02-04,11847.7,11847.7,11672.7,11722.7,937469.0,2015-02-04,78000.0,79000.0,77500.0,78500.0,479230.0,2015-02-04,9976.2,10103.3,9595.0,9976.2,6000278.0
23,2015-02-05,10842.9,11237.2,10711.4,11237.2,4274591.0,2015-02-05,4198.0,4276.2,4198.0,4198.0,273602.0,2015-02-05,17665.0,18456.0,17665.0,18404.0,1403316.0,2015-02-05,30.0,30.06,29.81,29.98,168984976,2015-02-05,2043.5,2063.6,2043.5,2062.5,0.0,2015-02-05,4729.65,4767.38,4722.8,4765.1,501774528.0,2015-02-05,71528.0,72917.0,70833.0,71528.0,224035.0,2015-02-05,11747.7,11872.7,11722.7,11797.7,558713.0,2015-02-05,78000.0,79000.0,77500.0,78500.0,268680.0,2015-02-05,10039.8,10484.6,10039.8,10421.0,2487178.0
24,2015-02-06,11237.2,11762.9,11237.2,11631.4,4102476.0,2015-02-06,4198.0,4276.2,3885.1,4276.2,901275.0,2015-02-06,18456.0,18984.0,18456.0,18984.0,1186389.0,2015-02-06,30.0,30.06,29.61,29.73,174826272,2015-02-06,2062.3,2072.4,2050.0,2055.5,0.0,2015-02-06,4768.85,4787.19,4731.22,4744.4,494103008.0,2015-02-06,71528.0,72222.0,71528.0,71528.0,71338.0,2015-02-06,11872.7,11872.7,11797.7,11822.7,349230.0,2015-02-06,79500.0,80500.0,79000.0,79500.0,409620.0,2015-02-06,10484.6,11056.5,10357.5,11056.5,3580642.0
25,2015-02-09,11565.7,11960.0,11500.0,11697.2,4887774.0,2015-02-09,4276.2,4328.3,4198.0,4198.0,268138.0,2015-02-09,18878.0,19353.0,18720.0,19089.0,1741962.0,2015-02-09,29.64,29.96,29.61,29.93,155559184,2015-02-09,2053.5,2056.2,2041.9,2046.7,0.0,2015-02-09,4723.73,4749.47,4719.61,4726.01,411221440.0,2015-02-09,71528.0,72222.0,70833.0,72222.0,140256.0,2015-02-09,11922.7,11922.7,11797.7,11797.7,444369.0,2015-02-09,80000.0,80000.0,79000.0,79000.0,250850.0,2015-02-09,10929.4,11247.1,10865.8,10992.9,5978106.0
26,2015-02-10,11828.6,12157.2,11697.2,12091.4,3504484.0,2015-02-10,4171.9,4276.2,4171.9,4224.0,388310.0,2015-02-10,19195.0,19458.0,19142.0,19195.0,1021450.0,2015-02-10,30.04,30.54,30.04,30.5,248034016,2015-02-10,2049.4,2070.9,2048.6,2068.6,0.0,2015-02-10,4754.62,4793.27,4737.12,4787.65,441959232.0,2015-02-10,71528.0,72222.0,71528.0,71528.0,111470.0,2015-02-10,11797.7,11822.7,11747.7,11772.7,437561.0,2015-02-10,80000.0,80000.0,78500.0,78500.0,169730.0,2015-02-10,11310.6,11501.3,11183.6,11374.2,4852202.0
27,2015-02-11,11894.3,12222.9,11894.3,12091.4,3426655.0,2015-02-11,4224.0,4302.3,4224.0,4276.2,334057.0,2015-02-11,19195.0,19669.0,19142.0,19564.0,916044.0,2015-02-11,30.69,31.23,30.62,31.22,294247200,2015-02-11,2068.6,2073.5,2058.0,2068.5,0.0,2015-02-11,4788.37,4810.36,4780.13,4801.18,433804352.0,2015-02-11,71528.0,72917.0,71528.0,72917.0,267725.0,2015-02-11,11822.7,11872.7,11797.7,11872.7,425622.0,2015-02-11,78500.0,78500.0,77500.0,78000.0,182290.0,2015-02-11,11310.6,11564.8,11247.1,11501.3,2754935.0
28,2015-02-12,12091.4,12222.9,11697.2,11762.9,3424048.0,2015-02-12,4276.2,4302.3,4250.1,4276.2,323023.0,2015-02-12,19722.0,19722.0,19142.0,19142.0,996696.0,2015-02-12,31.52,31.87,31.39,31.61,297897856,2015-02-12,2070.0,2088.5,2070.0,2088.5,0.0,2015-02-12,4828.08,4857.61,4823.57,4857.61,480016512.0,2015-02-12,72222.0,72917.0,72222.0,72917.0,84715.0,2015-02-12,11972.7,12047.7,11947.7,11947.7,1328528.0,2015-02-12,78000.0,79000.0,76500.0,79000.0,400480.0,2015-02-12,11501.3,11564.8,11120.0,11310.6,3532441.0
29,2015-02-13,11762.9,11894.3,11631.4,11697.2,2615246.0,2015-02-13,4302.3,4458.7,4302.3,4380.5,2389697.0,2015-02-13,19142.0,19405.0,19142.0,19247.0,668885.0,2015-02-13,31.82,31.82,31.41,31.77,217088880,2015-02-13,2088.8,2097.0,2086.7,2097.0,0.0,2015-02-13,4869.73,4893.84,4860.12,4893.84,455860448.0,2015-02-13,72917.0,73611.0,72222.0,73611.0,209664.0,2015-02-13,11997.7,12047.7,11947.7,11997.7,607077.0,2015-02-13,79500.0,80000.0,79000.0,79000.0,196250.0,2015-02-13,11310.6,11501.3,11120.0,11310.6,2945382.0
30,2015-02-24,11894.3,12288.6,11828.6,12222.9,2350938.0,2015-02-24,4406.6,4510.9,4406.6,4458.7,517620.0,2015-02-24,19511.0,20566.0,19353.0,20566.0,1744167.0,2015-02-17,31.87,32.22,31.73,31.96,252609616,2015-02-17,2096.5,2101.3,2089.8,2100.3,0.0,2015-02-17,4889.98,4901.89,4880.64,4899.27,450146688.0,2015-02-24,73611.0,74305.0,73611.0,74305.0,148335.0,2015-02-24,12047.7,12197.6,12047.7,12147.6,1074285.0,2015-02-24,79500.0,79500.0,79000.0,79500.0,131510.0,2015-02-24,11501.3,11819.0,11437.7,11755.4,3429140.0
31,2015-02-25,12354.3,12814.3,12354.3,12354.3,7179082.0,2015-02-25,4484.8,4615.2,4458.7,4510.9,2470241.0,2015-02-25,20513.0,21040.0,20091.0,20091.0,1534664.0,2015-02-18,31.91,32.2,31.86,32.18,179566944,2015-02-18,2099.2,2100.2,2092.2,2099.7,0.0,2015-02-18,4890.84,4907.5,4885.6,4906.36,410197632.0,2015-02-25,74305.0,75694.0,74305.0,75694.0,253095.0,2015-02-25,12197.6,12247.6,12097.7,12122.7,1590436.0,2015-02-25,79500.0,79500.0,78500.0,78500.0,233210.0,2015-02-25,11946.1,12200.2,11691.9,11755.4,9011252.0
32,2015-02-26,12420.0,12748.6,12420.0,12748.6,5355845.0,2015-02-26,4510.9,4536.9,4432.6,4510.9,412737.0,2015-02-26,20302.0,21040.0,20249.0,20776.0,1276016.0,2015-02-19,32.12,32.26,32.08,32.11,149449520,2015-02-19,2099.2,2102.1,2090.8,2097.4,0.0,2015-02-19,4901.51,4929.53,4900.63,4924.7,380206240.0,2015-02-26,75694.0,76389.0,75000.0,75000.0,226627.0,2015-02-26,12097.7,12247.6,12097.7,12247.6,844833.0,2015-02-26,79000.0,79000.0,77500.0,78500.0,185200.0,2015-02-26,11755.4,12073.2,11755.4,12009.6,2991779.0
33,2015-02-27,12814.3,12880.0,12485.7,12748.6,5418870.0,2015-02-27,4536.9,4536.9,4432.6,4432.6,236541.0,2015-02-27,20829.0,20829.0,19985.0,20249.0,1209248.0,2015-02-20,32.16,32.38,32.01,32.37,195793680,2015-02-20,2097.7,2110.6,2085.4,2110.3,0.0,2015-02-20,4919.78,4957.02,4905.59,4955.97,456717664.0,2015-02-27,75694.0,75694.0,74305.0,75000.0,119578.0,2015-02-27,12272.6,12322.6,12172.6,12197.6,961589.0,2015-02-27,78500.0,79000.0,77500.0,79000.0,289710.0,2015-02-27,12009.6,12136.7,11755.4,11819.0,2723297.0
34,2015-03-02,12617.2,12682.9,12354.3,12551.4,3968270.0,2015-03-02,4484.8,4484.8,4406.6,4432.6,370522.0,2015-03-02,20196.0,20407.0,19880.0,20249.0,535625.0,2015-02-23,32.51,33.25,32.41,33.25,283896448,2015-02-23,2109.8,2110.1,2103.0,2109.7,0.0,2015-02-23,4953.1,4960.97,4939.56,4960.97,452048352.0,2015-03-02,75000.0,75694.0,74305.0,74305.0,148853.0,2015-03-02,12247.6,12247.6,12097.7,12122.7,1438903.0,2015-03-02,78500.0,79000.0,78000.0,78500.0,95850.0,2015-03-02,11691.9,11882.5,11628.4,11755.4,3057016.0
35,2015-03-03,12485.7,12814.3,12485.7,12617.2,4804073.0,2015-03-03,4484.8,4484.8,4406.6,4406.6,2219101.0,2015-03-03,20196.0,20566.0,20038.0,20302.0,973648.0,2015-02-24,33.23,33.4,32.79,33.04,276912512,2015-02-24,2109.1,2117.9,2105.9,2115.5,0.0,2015-02-24,4956.21,4971.18,4945.14,4968.12,429639008.0,2015-03-03,74305.0,75000.0,73611.0,75000.0,166983.0,2015-03-03,12197.6,12222.6,12147.6,12222.6,655043.0,2015-03-03,78500.0,79000.0,78000.0,78000.0,420410.0,2015-03-03,11755.4,11946.1,11755.4,11819.0,2725114.0
