Date,Open,High,Low,Close,Volume
2015-01-05,9068.6,9200.0,9068.6,9134.3,78074
2015-01-06,9134.3,9397.2,9068.6,9200.0,161350
2015-01-07,9200.0,9528.6,9200.0,9462.9,603516
2015-01-08,9397.2,9462.9,9265.7,9265.7,391946
2015-01-09,9397.2,9660.0,9331.4,9528.6,1119691
2015-01-12,9594.3,9922.9,9528.6,9660.0,2691617
2015-01-13,9791.4,10317.2,9725.7,10185.7,1848289
2015-01-14,10317.2,10448.6,9922.9,10120.0,1684616
2015-01-15,10120.0,10382.9,9988.6,9988.6,918007
2015-01-16,9988.6,10185.7,9857.2,10054.3,1529823
2015-01-19,10382.9,10448.6,10185.7,10317.2,2318786
2015-01-20,10251.4,10317.2,10120.0,10120.0,535032
2015-01-21,10120.0,10120.0,9922.9,9922.9,1044999
2015-01-22,9922.9,10580.0,9791.4,10580.0,3466163
2015-01-23,10974.3,11171.4,10777.2,10908.6,2526227
2015-01-26,11040.0,11368.6,10974.3,11237.2,3801099
2015-01-27,11237.2,11697.2,11040.0,11500.0,5652666
2015-01-28,11500.0,12288.6,11500.0,12288.6,7413537
2015-01-29,12485.7,12814.3,12157.2,12354.3,5519570
2015-01-30,12157.2,12288.6,11697.2,11828.6,4104722
2015-02-02,11697.2,12157.2,11565.7,11828.6,3252437
2015-02-03,11894.3,11960.0,11040.0,11040.0,4431604
2015-02-04,10711.4,10842.9,10317.2,10645.7,4663348
2015-02-05,10842.9,11237.2,10711.4,11237.2,4274591
2015-02-06,11237.2,11762.9,11237.2,11631.4,4102476
2015-02-09,11565.7,11960.0,11500.0,11697.2,4887774
2015-02-10,11828.6,12157.2,11697.2,12091.4,3504484
2015-02-11,11894.3,12222.9,11894.3,12091.4,3426655
2015-02-12,12091.4,12222.9,11697.2,11762.9,3424048
2015-02-13,11762.9,11894.3,11631.4,11697.2,2615246
2015-02-24,11894.3,12288.6,11828.6,12222.9,2350938
2015-02-25,12354.3,12814.3,12354.3,12354.3,7179082
2015-02-26,12420.0,12748.6,12420.0,12748.6,5355845
2015-02-27,12814.3,12880.0,12485.7,12748.6,5418870
2015-03-02,12617.2,12682.9,12354.3,12551.4,3968270
2015-03-03,12485.7,12814.3,12485.7,12617.2,4804073
2015-03-04,12617.2,12748.6,12420.0,12617.2,3802260
2015-03-05,12682.9,12748.6,12354.3,12354.3,3351124
2015-03-06,12288.6,12814.3,12157.2,12551.4,4800988
2015-03-09,12617.2,12617.2,12288.6,12288.6,1902782
2015-03-10,12222.9,12485.7,12222.9,12354.3,1546305
2015-03-11,12354.3,12682.9,12222.9,12354.3,3522438
2015-03-12,12485.7,12551.4,12354.3,12420.0,1870670
2015-03-13,12551.4,12682.9,12485.7,12551.4,3077019
2015-03-16,12485.7,12551.4,12354.3,12354.3,1641249
2015-03-17,12354.3,12485.7,12288.6,12288.6,1745472
2015-03-18,12222.9,12222.9,11894.3,11960.0,4010385
2015-03-19,12025.7,12091.4,11828.6,11828.6,1853284
2015-03-20,11828.6,11960.0,11762.9,11894.3,2402462
2015-03-23,11960.0,12025.7,11565.7,11565.7,2850592
2015-03-24,11565.7,11631.4,11237.2,11500.0,3201467
2015-03-25,11565.7,11828.6,11500.0,11697.2,2439867
2015-03-26,11565.7,11960.0,11565.7,11631.4,3820395
2015-03-27,11828.6,11828.6,11500.0,11565.7,2079169
2015-03-30,11500.0,11631.4,11171.4,11302.9,2281343
2015-03-31,11237.2,11500.0,11237.2,11368.6,2357133
2015-04-01,11368.6,11500.0,11105.7,11171.4,2420880
2015-04-02,11171.4,11500.0,11105.7,11500.0,2544194
2015-04-03,11500.0,11631.4,11434.3,11434.3,2171750
2015-04-06,11434.3,11500.0,11302.9,11302.9,1770757
2015-04-07,11237.2,11500.0,11171.4,11368.6,5680158
2015-04-08,11500.0,11565.7,11302.9,11368.6,4046925
2015-04-09,11434.3,11697.2,11302.9,11697.2,4876158
2015-04-10,11697.2,12091.4,11697.2,11828.6,4795980
2015-04-13,11894.3,11960.0,11697.2,11894.3,3147103
2015-04-14,12025.7,12157.2,11762.9,11762.9,5556458
2015-04-15,11697.2,11960.0,11631.4,11894.3,2917476
2015-04-16,11894.3,12091.4,11828.6,12091.4,4357376
2015-04-17,12025.7,12157.2,11960.0,11960.0,3353705
2015-04-20,11894.3,11960.0,11762.9,11894.3,2370182
2015-04-21,11960.0,12091.4,11828.6,11828.6,3246022
2015-04-22,11697.2,11828.6,11434.3,11565.7,4661477
