Date,Open,High,Low,Close,Volume
2015-01-05,66667.0,67014.0,66319.0,66667.0,101218
2015-01-06,66667.0,67361.0,65972.0,66667.0,145282
2015-01-07,66667.0,68403.0,66667.0,68056.0,279547
2015-01-08,68056.0,68750.0,67708.0,68403.0,101736
2015-01-09,69097.0,71528.0,68750.0,71528.0,418162
2015-01-12,71528.0,71528.0,69444.0,69444.0,213797
2015-01-13,69444.0,70833.0,69097.0,70833.0,121752
2015-01-14,71528.0,71528.0,69444.0,70139.0,126072
2015-01-15,70139.0,70139.0,69097.0,69444.0,123970
2015-01-16,69444.0,69444.0,69097.0,69444.0,48586
2015-01-19,69444.0,69444.0,68750.0,69097.0,87768
2015-01-20,68403.0,70139.0,68403.0,69444.0,102154
2015-01-21,70139.0,70833.0,69097.0,69444.0,116539
2015-01-22,69444.0,70139.0,69097.0,69097.0,61474
2015-01-23,69444.0,70139.0,68750.0,69444.0,118872
2015-01-26,69444.0,70139.0,69097.0,69097.0,166075
2015-01-27,69097.0,72222.0,69097.0,70833.0,373522
2015-01-28,70139.0,71528.0,70139.0,70139.0,118152
2015-01-29,70139.0,72917.0,70139.0,72917.0,579010
2015-01-30,72222.0,72917.0,71528.0,72222.0,209779
2015-02-02,72222.0,72917.0,71528.0,71528.0,126691
2015-02-03,71528.0,72222.0,70139.0,70139.0,248487
2015-02-04,70139.0,71528.0,69444.0,71528.0,140717
2015-02-05,71528.0,72917.0,70833.0,71528.0,224035
2015-02-06,71528.0,72222.0,71528.0,71528.0,71338
2015-02-09,71528.0,72222.0,70833.0,72222.0,140256
2015-02-10,71528.0,72222.0,71528.0,71528.0,111470
2015-02-11,71528.0,72917.0,71528.0,72917.0,267725
2015-02-12,72222.0,72917.0,72222.0,72917.0,84715
2015-02-13,72917.0,73611.0,72222.0,73611.0,209664
2015-02-24,73611.0,74305.0,73611.0,74305.0,148335
2015-02-25,74305.0,75694.0,74305.0,75694.0,253095
2015-02-26,75694.0,76389.0,75000.0,75000.0,226627
2015-02-27,75694.0,75694.0,74305.0,75000.0,119578
2015-03-02,75000.0,75694.0,74305.0,74305.0,148853
2015-03-03,74305.0,75000.0,73611.0,75000.0,166983
2015-03-04,75000.0,75694.0,74305.0,75694.0,107237
2015-03-05,75694.0,75694.0,74305.0,75000.0,132120
2015-03-06,75000.0,75694.0,74305.0,74305.0,165010
2015-03-09,74305.0,75000.0,74305.0,74305.0,101304
2015-03-10,74305.0,75000.0,74305.0,75000.0,207778
2015-03-11,75000.0,75694.0,74305.0,75000.0,235987
2015-03-12,75000.0,75694.0,74305.0,75694.0,187690
2015-03-13,75000.0,75694.0,74305.0,75000.0,235613
2015-03-16,75000.0,75694.0,75000.0,75694.0,221386
2015-03-17,75694.0,75694.0,75000.0,75694.0,98309
2015-03-18,75000.0,75694.0,75000.0,75694.0,124690
2015-03-19,75000.0,75694.0,74305.0,75000.0,168221
2015-03-20,74305.0,75000.0,74305.0,74305.0,117749
2015-03-23,74305.0,75000.0,73611.0,74305.0,160863
2015-03-24,74305.0,74305.0,73611.0,74305.0,137434
2015-03-25,74305.0,74305.0,72917.0,74305.0,132149
2015-03-26,73611.0,74305.0,72917.0,74305.0,140875
2015-03-27,73611.0,74305.0,72917.0,72917.0,115718
2015-03-30,73611.0,73611.0,72222.0,72917.0,102758
2015-03-31,72917.0,73611.0,72222.0,73611.0,132711
2015-04-01,73611.0,73611.0,72222.0,72917.0,217987
2015-04-02,72222.0,73611.0,72222.0,73611.0,139853
2015-04-03,72917.0,73611.0,72222.0,72917.0,81446
2015-04-06,72917.0,73611.0,72222.0,72222.0,123207
2015-04-07,72222.0,73611.0,72222.0,73611.0,165744
2015-04-08,73611.0,74305.0,73611.0,73611.0,210341
2015-04-09,73611.0,74305.0,73611.0,73611.0,106690
2015-04-10,73611.0,75694.0,73611.0,75000.0,334714
2015-04-13,76389.0,77083.0,75000.0,76389.0,397268
2015-04-14,77083.0,77083.0,75694.0,76389.0,289167
2015-04-15,76389.0,76389.0,75000.0,75694.0,185170
2015-04-16,75694.0,75694.0,75000.0,75000.0,101693
2015-04-17,75000.0,75694.0,75000.0,75000.0,87523
2015-04-20,75694.0,75694.0,74305.0,75000.0,189317
2015-04-21,75000.0,75694.0,74305.0,75000.0,64829
2015-04-22,75000.0,75694.0,74305.0,75000.0,65506
2015-04-23,75000.0,75694.0,75000.0,75000.0,69581
2015-04-24,75694.0,75694.0,75000.0,75694.0,197007
2015-04-27,75694.0,75694.0,75000.0,75000.0,108245
