Date,Open,High,Low,Close,Volume
2015-01-05,11997.7,12047.7,11897.7,11947.7,835215
2015-01-06,11872.7,12022.7,11822.7,12022.7,1111534
2015-01-07,12022.7,12272.6,12022.7,12097.7,1238274
2015-01-08,12072.7,12097.7,11947.7,11972.7,694003
2015-01-09,11972.7,12122.7,11972.7,12072.7,977680
2015-01-12,12072.7,12297.6,12072.7,12147.6,2073307
2015-01-13,12097.7,12197.6,12097.7,12172.6,739069
2015-01-14,12172.6,12222.6,12047.7,12147.6,1285783
2015-01-15,12197.6,12197.6,12097.7,12172.6,860741
2015-01-16,12197.6,12197.6,12097.7,12122.7,532303
2015-01-19,12122.7,12122.7,11997.7,11997.7,1120602
2015-01-20,11997.7,12047.7,11972.7,11997.7,1050347
2015-01-21,12047.7,12197.6,12047.7,12097.7,1854114
2015-01-22,12147.6,12147.6,12047.7,12047.7,913531
2015-01-23,12097.7,12172.6,12047.7,12097.7,1179408
2015-01-26,12097.7,12172.6,12097.7,12097.7,1172965
2015-01-27,12072.7,12147.6,11997.7,11997.7,1295065
2015-01-28,11972.7,12072.7,11947.7,11972.7,795890
2015-01-29,11972.7,11997.7,11947.7,11972.7,685332
2015-01-30,11997.7,12022.7,11872.7,11872.7,1793690
2015-02-02,11897.7,11947.7,11822.7,11847.7,669913
2015-02-03,11847.7,11872.7,11747.7,11747.7,632541
2015-02-04,11847.7,11847.7,11672.7,11722.7,937469
2015-02-05,11747.7,11872.7,11722.7,11797.7,558713
2015-02-06,11872.7,11872.7,11797.7,11822.7,349230
2015-02-09,11922.7,11922.7,11797.7,11797.7,444369
2015-02-10,11797.7,11822.7,11747.7,11772.7,437561
2015-02-11,11822.7,11872.7,11797.7,11872.7,425622
2015-02-12,11972.7,12047.7,11947.7,11947.7,1328528
2015-02-13,11997.7,12047.7,11947.7,11997.7,607077
2015-02-24,12047.7,12197.6,12047.7,12147.6,1074285
2015-02-25,12197.6,12247.6,12097.7,12122.7,1590436
2015-02-26,12097.7,12247.6,12097.7,12247.6,844833
2015-02-27,12272.6,12322.6,12172.6,12197.6,961589
2015-03-02,12247.6,12247.6,12097.7,12122.7,1438903
2015-03-03,12197.6,12222.6,12147.6,12222.6,655043
2015-03-04,12297.6,12622.6,12297.6,12497.6,3033400
2015-03-05,12622.6,12747.5,12497.6,12497.6,1201574
2015-03-06,12497.6,12622.6,12472.6,12497.6,1023265
2015-03-09,12472.6,12497.6,12297.6,12297.6,1266181
2015-03-10,12372.6,12422.6,12322.6,12422.6,1002655
2015-03-11,12422.6,12422.6,12347.6,12372.6,895059
2015-03-12,12372.6,12372.6,12272.6,12297.6,1124022
2015-03-13,12372.6,12422.6,12272.6,12297.6,868496
2015-03-16,12297.6,12347.6,12297.6,12347.6,654891
2015-03-17,12372.6,12622.6,12372.6,12497.6,2190918
2015-03-18,12497.6,12497.6,12397.6,12397.6,697453
2015-03-19,12472.6,12497.6,12372.6,12372.6,770731
2015-03-20,12372.6,12472.6,12347.6,12447.6,868160
2015-03-23,12447.6,12472.6,12347.6,12347.6,839307
2015-03-24,12372.6,12372.6,12197.6,12272.6,1065705
2015-03-25,12372.6,12372.6,12247.6,12297.6,675103
2015-03-26,12347.6,12347.6,12297.6,12322.6,842910
2015-03-27,12397.6,12397.6,12297.6,12297.6,692720
2015-03-30,12347.6,12347.6,12097.7,12097.7,1261204
2015-03-31,12097.7,12172.6,12097.7,12097.7,712200
2015-04-01,12172.6,12172.6,11922.7,11922.7,827155
2015-04-02,11947.7,12122.7,11922.7,12022.7,513037
2015-04-03,12122.7,12197.6,12022.7,12197.6,356131
2015-04-06,12197.6,12272.6,12122.7,12122.7,513464
2015-04-07,12097.7,12247.6,12097.7,12222.6,458659
2015-04-08,12247.6,12272.6,12197.6,12222.6,496336
2015-04-09,12222.6,12247.6,12122.7,12222.6,790638
2015-04-10,12222.6,12347.6,12197.6,12297.6,1053889
2015-04-13,12297.6,12347.6,12272.6,12297.6,500916
2015-04-14,12297.6,12297.6,12172.6,12172.6,684813
2015-04-15,12222.6,12247.6,12122.7,12222.6,680904
2015-04-16,12222.6,12297.6,12172.6,12197.6,466628
2015-04-17,12222.6,12872.5,12222.6,12747.5,4572755
2015-04-20,12747.5,12747.5,12472.6,12622.6,1095138
2015-04-21,12622.6,12747.5,12497.6,12497.6,805965
2015-04-22,12497.6,12747.5,12497.6,12497.6,1646005
2015-04-23,12622.6,12747.5,12447.6,12622.6,1958382
2015-04-24,12622.6,12747.5,12497.6,12622.6,819522
2015-04-27,12872.5,13122.5,12747.5,12872.5,1944185
2015-05-04,12872.5,12997.5,12247.6,12347.6,2498410
