Date,Open,High,Low,Close,Volume
2015-01-05,8197.0,8260.6,8197.0,8197.0,87396
2015-01-06,8133.5,8451.2,8133.5,8387.7,530814
2015-01-07,8387.7,8641.8,8324.1,8641.8,1093608
2015-01-08,8641.8,8768.9,8514.7,8641.8,1050964
2015-01-09,8641.8,9213.7,8641.8,9213.7,4333303
2015-01-12,9531.4,9849.2,9467.9,9849.2,4620138
2015-01-13,9912.7,10484.6,9912.7,10421.0,5581783
2015-01-14,10294.0,10738.8,10103.3,10357.5,4774944
2015-01-15,10357.5,10738.8,10357.5,10421.0,5075142
2015-01-16,10484.6,10611.7,10294.0,10294.0,2966500
2015-01-19,10484.6,10675.2,10294.0,10421.0,4237007
2015-01-20,10357.5,10421.0,10166.9,10294.0,1933508
2015-01-21,10294.0,10357.5,9976.2,9976.2,2273362
2015-01-22,9976.2,10611.7,9785.6,10611.7,6471108
2015-01-23,10929.4,11247.1,10865.8,11056.5,7485615
2015-01-26,11056.5,11183.6,10929.4,11056.5,3693237
2015-01-27,10992.9,11437.7,10865.8,11056.5,8304159
2015-01-28,11056.5,11819.0,11056.5,11819.0,10091010
2015-01-29,11755.4,11946.1,11374.2,11564.8,5909261
2015-01-30,11437.7,11501.3,11056.5,11120.0,5560875
2015-02-02,11056.5,11247.1,10929.4,10929.4,3181567
2015-02-03,11120.0,11120.0,10166.9,10166.9,6261571
2015-02-04,9976.2,10103.3,9595.0,9976.2,6000278
2015-02-05,10039.8,10484.6,10039.8,10421.0,2487178
2015-02-06,10484.6,11056.5,10357.5,11056.5,3580642
2015-02-09,10929.4,11247.1,10865.8,10992.9,5978106
2015-02-10,11310.6,11501.3,11183.6,11374.2,4852202
2015-02-11,11310.6,11564.8,11247.1,11501.3,2754935
2015-02-12,11501.3,11564.8,11120.0,11310.6,3532441
2015-02-13,11310.6,11501.3,11120.0,11310.6,2945382
2015-02-24,11501.3,11819.0,11437.7,11755.4,3429140
2015-02-25,11946.1,12200.2,11691.9,11755.4,9011252
2015-02-26,11755.4,12073.2,11755.4,12009.6,2991779
2015-02-27,12009.6,12136.7,11755.4,11819.0,2723297
2015-03-02,11691.9,11882.5,11628.4,11755.4,3057016
2015-03-03,11755.4,11946.1,11755.4,11819.0,2725114
2015-03-04,11819.0,11882.5,11628.4,11819.0,4164646
2015-03-05,11819.0,11882.5,11501.3,11501.3,3703533
2015-03-06,11437.7,11882.5,11374.2,11755.4,4838075
2015-03-09,11755.4,11819.0,11437.7,11501.3,2213233
2015-03-10,11437.7,11691.9,11437.7,11628.4,2239196
2015-03-11,11501.3,11819.0,11501.3,11628.4,2410670
2015-03-12,11628.4,11755.4,11628.4,11691.9,1648648
2015-03-13,11755.4,11946.1,11755.4,11819.0,3204067
2015-03-16,11755.4,11819.0,11628.4,11628.4,1846678
2015-03-17,11628.4,11755.4,11564.8,11628.4,1594957
2015-03-18,11564.8,11628.4,11374.2,11437.7,3286026
2015-03-19,11501.3,11564.8,11183.6,11247.1,2396649
2015-03-20,11183.6,11437.7,11183.6,11374.2,1544821
2015-03-23,11374.2,11501.3,10929.4,10992.9,2330252
2015-03-24,10865.8,10929.4,10611.7,10929.4,3668709
