Date,Open,High,Low,Close,Volume
2015-03-10,19036.0,19511.0,19036.0,19405.0,1028202
2015-03-11,19405.0,19458.0,19195.0,19247.0,993423
2015-03-12,19195.0,19458.0,19195.0,19405.0,651401
2015-03-13,19511.0,19722.0,19353.0,19353.0,857889
2015-03-16,18456.0,19142.0,18456.0,18614.0,3563662
2015-03-17,18720.0,19036.0,18720.0,18825.0,1034869
2015-03-18,18773.0,18931.0,18614.0,18878.0,525462
2015-03-19,18773.0,18773.0,18614.0,18720.0,1764528
2015-03-20,18614.0,19195.0,18614.0,18984.0,6991050
2015-03-23,18984.0,19089.0,18509.0,18562.0,1704908
2015-03-24,18456.0,18667.0,18193.0,18614.0,2824977
2015-03-25,18509.0,18720.0,18456.0,18667.0,1139517
2015-03-26,18404.0,18825.0,18404.0,18456.0,2306854
2015-03-27,18456.0,18773.0,18404.0,18614.0,2501284
2015-03-30,18509.0,18720.0,18509.0,18509.0,1144840
2015-03-31,18509.0,18773.0,18456.0,18509.0,1166510
2015-04-01,18509.0,18614.0,18351.0,18456.0,1518816
2015-04-02,18456.0,18878.0,18404.0,18825.0,927654
2015-04-03,18825.0,18878.0,18720.0,18825.0,749710
2015-04-06,18720.0,18825.0,18720.0,18720.0,596226
2015-04-07,18720.0,18931.0,18509.0,18878.0,1199067
2015-04-08,18825.0,18878.0,18667.0,18720.0,1791211
2015-04-09,18667.0,19089.0,18667.0,18878.0,916923
2015-04-10,18878.0,19195.0,18878.0,18984.0,975422
2015-04-13,19089.0,19195.0,18984.0,19195.0,1148836
2015-04-14,19300.0,19353.0,19142.0,19195.0,1879201
2015-04-15,19142.0,19353.0,19142.0,19300.0,1180256
2015-04-16,19300.0,19827.0,19247.0,19669.0,1781564
2015-04-17,19669.0,19880.0,19669.0,19722.0,1581674
2015-04-20,19775.0,19775.0,19458.0,19669.0,907035
2015-04-21,19564.0,19669.0,19300.0,19353.0,1180635
2015-04-22,19353.0,19564.0,19353.0,19511.0,1153728
